User_Id	Name	Address	Address1	City	Cnty	State	Zip	Phone	Fax	Cdist	Msa	Duns	Cage	Yrest	Contact	Title	Url	Gcc	Edi	BusParntDUNSNmb	ExportCd	ExporctObjtvTxt	TechnetInd	Emall	Tof	Minc	Women	Veteran	Dav	Vietnam	RgstrtnCCRInd	BusLastUpdtDt
P1064735	KING FEDERAL SERVICES	138 HARVARD RD		STOW	017	MA	01775-1070	9787932325	9788976658	05	1120	829910731	5E6C3	2009	SHEILA KING		https://www.kingfederalservices.com	Y	N						SL						Y	May 12 2009 15:04:47
P1064776	BURTS OUTDOOR SERVICES	1116 WHITES GAP RD		JACKSONVILLE	015	AL	36265-8587	2562835688	2567822520	03	0450	004544725	5E5U6	2004	BURT EVANS			Y	N						SL						Y	Apr 11 2009 09:12:49
P1064777	JAX CONSULTING, LLC	329 BEGONIA LN		CHESAPEAKE	550	VA	23325-4633	7578034942	8882831197	04	5720	830165986	5E5R0	2009	JIMMY PATMON JR			N	N						LL						Y	Apr 11 2009 09:25:14
P1064778	BNB RENOVATIONS, LLC.	556 PHOENIX CIR		VALLEJO	095	CA	94589-2370	7075549881	7075549566	07	8720	793071205	5E6C5	2005	YOLONDA BODDEN			N	N						LL						Y	Apr 11 2009 09:22:05
P1064779	SINAY'S SALVAGE	1139 GREENSBURG PIKE		WEST NEWTON	129	PA	15089-3010	7248729799	7248729709	12	6280	796016525	5E5Y8	1979	ROBERT SINAY			N	N						SL						Y	Apr 11 2009 09:22:13
P1064782	DIMENSION SYSTEMS, INCORPORATED	8700 W BRYN MAWR DR		CHICAGO	031	IL	60631-3512	7739132494 x110       	7739132496	09	1600	829367536	5E8D7	2000	TANYA PENMAN			Y	N		W	improve energy projects using export		http://www.dimensionsystemsinc.com	CP						Y	Mar 22 2011 21:58:47
P1064783	SEAFOUR	286 OAKLEY AVE		ELMONT	059	NY	11003-3205	9176931602		04	5380	181922472	5E5Z2	2004	PAUL YURKIW			N	N						CP						Y	Apr 05 2011 22:22:43
P1064784	PARAMOUNT STEEL, INC.	5800 RANCHESTER DR STE 202		HOUSTON	201	TX	77036-2218	7137876606 x12        	7137876007	09	3360	605633296	5CQ73	1988	STEVE LEE			N	N						CP						Y	Jun 21 2012 11:56:15
P1064785	J D AHREN MEDICAL, LEGAL, SOCIAL & HOME HEALTHCARE	914 LAKE FRONT DRIVE		MITCHELLVILLE	033	MD	20721-2950	3013792008 x3013331828	3013331828	04	8840	199479069	5E6N2	2005	PAULETTE RAMSAY			Y	N						SC						Y	Apr 14 2009 09:19:32
P1064786	STRICKLAND REPAIRS & SERV	779 PAGES MILL RD		CERRO GORDO	047	NC	28430-9515	9106545838	9106541931	07		828224670	5E5Z6	1994	VICKI STRICKLAND			Y	N						SL						Y	Apr 11 2009 09:23:24
P1064788	DIAMOND REAL ESTATE SERVICES	1136 GARRETSON AVE		CORONA	065	CA	92879-2418	9514525123		44	6780	830180647	5E5Y2	2009	JEANETTE FITZGERALD			N	N		N				SL						Y	Nov 30 2010 08:58:52
